Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
12507437,-2.76,72.14,0.0,0.00,0.0,0.0,0.0
12571014,-2.76,73.02,0.0,0.00,0.0,0.0,0.0
12634591,-2.82,73.72,0.0,0.00,0.0,0.0,0.0
12698168,-2.87,74.60,0.0,0.00,0.0,0.0,0.0
12761745,-2.93,75.31,0.0,0.00,0.0,0.0,0.0
12825322,-2.99,76.19,0.0,0.00,0.0,0.0,0.0
12888899,-3.05,76.89,0.0,0.00,0.0,0.0,0.0
12952476,-3.11,77.77,0.0,0.00,0.0,0.0,0.0
13016053,-3.17,78.48,0.0,0.00,0.0,0.0,0.0
13079630,-3.23,79.18,0.0,0.00,0.0,0.0,0.0
13143207,-3.23,80.06,0.0,0.00,0.0,0.0,0.0
13206784,-3.28,80.76,0.0,0.00,0.0,0.0,0.0
13270361,-3.34,81.47,0.0,0.00,0.0,0.0,0.0
13333938,-3.40,82.17,0.0,0.00,0.0,0.0,0.0
13397515,-3.46,82.87,0.0,0.00,0.0,0.0,0.0
13461092,-3.52,83.75,0.0,0.00,0.0,0.0,0.0
13524669,-3.58,84.46,0.0,0.00,0.0,0.0,0.0
13588246,-3.64,85.16,0.0,0.00,0.0,0.0,0.0
13651823,-3.70,85.87,0.0,0.00,0.0,0.0,0.0
13715400,-3.75,86.57,0.0,0.00,0.0,0.0,0.0
13778977,-3.75,87.27,0.0,0.00,0.0,0.0,0.0
13842554,-3.81,87.98,0.0,0.00,0.0,0.0,0.0
13906131,-3.87,88.68,0.0,0.00,0.0,0.0,0.0
13969708,-3.93,89.21,0.0,0.00,0.0,0.0,0.0
14033285,-3.99,89.91,0.0,0.00,0.0,0.0,0.0
14096862,-4.05,90.62,0.0,0.00,0.0,0.0,0.0
14160439,-4.11,91.32,0.0,0.00,0.0,0.0,0.0
14224016,-4.16,92.02,0.0,0.00,0.0,0.0,0.0
14287593,-4.16,92.55,0.0,0.00,0.0,0.0,0.0
14351170,-4.22,93.26,0.0,0.00,0.0,0.0,0.0
14414747,-4.28,93.96,0.0,0.00,0.0,0.0,0.0
14478324,-4.34,94.49,0.0,0.00,0.0,0.0,0.0
14541901,-4.40,95.19,0.0,0.00,0.0,0.0,0.0
14605478,-4.46,95.89,0.0,0.00,0.0,0.0,0.0
14669055,-4.52,96.42,0.0,0.00,0.0,0.0,0.0
14732632,-4.57,97.13,0.0,0.00,0.0,0.0,0.0
14796209,-4.63,97.65,0.0,0.00,0.0,0.0,0.0
14859786,-4.69,98.36,0.0,0.00,0.0,0.0,0.0
14923363,-4.75,98.89,0.0,0.00,0.0,0.0,0.0
14986940,-4.75,99.59,0.0,0.00,0.0,0.0,0.0
15050517,-4.81,100.12,0.0,0.00,0.0,0.0,0.0
15114094,-4.87,100.65,0.0,0.00,0.0,0.0,0.0
15177671,-4.93,101.35,0.0,0.00,0.0,0.0,0.0
15241248,-4.99,101.88,0.0,0.00,0.0,0.0,0.0
15304825,-5.04,102.40,0.0,0.00,0.0,0.0,0.0
15368402,-5.10,102.93,0.0,0.00,0.0,0.0,0.0
15431979,-5.16,103.64,0.0,0.00,0.0,0.0,0.0
15495556,-5.22,104.16,0.0,0.00,0.0,0.0,0.0
15559133,-5.28,104.69,0.0,0.00,0.0,0.0,0.0
15622710,-5.34,105.22,0.0,0.00,0.0,0.0,0.0
15686287,-5.40,105.75,0.0,0.00,0.0,0.0,0.0
15749864,-5.45,106.28,0.0,0.00,0.0,0.0,0.0
15813441,-5.51,106.98,0.0,0.00,0.0,0.0,0.0
15877018,-5.57,107.33,0.0,0.00,0.0,0.0,0.0
15940595,-5.63,108.04,0.0,0.00,0.0,0.0,0.0
16004172,-5.69,108.56,0.0,0.00,0.0,0.0,0.0
