Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
126206624,-23.05,112.61,0.0,0.00,0.0,0.0,0.0
126292830,-23.05,112.61,0.0,0.00,0.0,0.0,0.0
126379036,-22.99,112.79,0.0,0.00,0.0,0.0,0.0
126465242,-23.05,112.79,0.0,0.00,0.0,0.0,0.0
126551448,-23.05,112.96,0.0,0.00,0.0,0.0,0.0
126637654,-23.05,112.96,0.0,0.00,0.0,0.0,0.0
126723860,-23.05,113.14,0.0,0.00,0.0,0.0,0.0
126810066,-23.05,113.14,0.0,0.00,0.0,0.0,0.0
126896272,-23.05,113.31,0.0,0.00,0.0,0.0,0.0
126982478,-23.05,113.31,0.0,0.00,0.0,0.0,0.0
127068684,-23.05,113.49,0.0,0.00,0.0,0.0,0.0
127154890,-23.05,113.49,0.0,0.00,0.0,0.0,0.0
127241096,-23.05,113.67,0.0,0.00,0.0,0.0,0.0
127327302,-23.05,113.67,0.0,0.00,0.0,0.0,0.0
127413508,-22.99,113.67,0.0,0.00,0.0,0.0,0.0
127499714,-23.05,113.84,0.0,0.00,0.0,0.0,0.0
127585920,-22.99,114.02,0.0,0.00,0.0,0.0,0.0
127672126,-22.99,114.02,0.0,0.00,0.0,0.0,0.0
127758332,-22.99,114.02,0.0,0.00,0.0,0.0,0.0
127844538,-23.05,114.19,0.0,0.00,0.0,0.0,0.0
127930744,-23.05,114.19,0.0,0.00,0.0,0.0,0.0
128016950,-22.99,114.37,0.0,0.00,0.0,0.0,0.0
128103156,-23.05,114.37,0.0,0.00,0.0,0.0,0.0
128189362,-23.05,114.55,0.0,0.00,0.0,0.0,0.0
128275568,-23.05,114.55,0.0,0.00,0.0,0.0,0.0
128361774,-22.99,114.72,0.0,0.00,0.0,0.0,0.0
128447980,-23.05,114.72,0.0,0.00,0.0,0.0,0.0
128534186,-22.99,114.72,0.0,0.00,0.0,0.0,0.0
128620392,-23.05,114.90,0.0,0.00,0.0,0.0,0.0
128706598,-23.05,114.90,0.0,0.00,0.0,0.0,0.0
128792804,-22.99,115.07,0.0,0.00,0.0,0.0,0.0
128879010,-23.05,115.07,0.0,0.00,0.0,0.0,0.0
128965216,-22.99,115.25,0.0,0.00,0.0,0.0,0.0
129051422,-22.99,115.25,0.0,0.00,0.0,0.0,0.0
129137628,-22.99,115.43,0.0,0.00,0.0,0.0,0.0
129223834,-22.99,115.43,0.0,0.00,0.0,0.0,0.0
129310040,-23.05,115.60,0.0,0.00,0.0,0.0,0.0
129396246,-22.99,115.60,0.0,0.00,0.0,0.0,0.0
129482452,-22.99,115.78,0.0,0.00,0.0,0.0,0.0
129568658,-22.99,115.78,0.0,0.00,0.0,0.0,0.0
129654864,-22.99,115.78,0.0,0.00,0.0,0.0,0.0
129741070,-22.99,115.95,0.0,0.00,0.0,0.0,0.0
129827276,-22.99,115.95,0.0,0.00,0.0,0.0,0.0
129913482,-22.99,116.13,0.0,0.00,0.0,0.0,0.0
129999688,-22.99,116.13,0.0,0.00,0.0,0.0,0.0
130085894,-22.99,116.30,0.0,0.00,0.0,0.0,0.0
130172100,-22.99,116.30,0.0,0.00,0.0,0.0,0.0
130258306,-22.99,116.48,0.0,0.00,0.0,0.0,0.0
130344512,-22.99,116.48,0.0,0.00,0.0,0.0,0.0
130430718,-22.99,116.66,0.0,0.00,0.0,0.0,0.0
130516924,-22.99,116.66,0.0,0.00,0.0,0.0,0.0
130603130,-23.05,116.83,0.0,0.00,0.0,0.0,0.0
130689336,-22.99,116.83,0.0,0.00,0.0,0.0,0.0
130775542,-22.99,117.01,0.0,0.00,0.0,0.0,0.0
130861748,-22.99,117.01,0.0,0.00,0.0,0.0,0.0
130947954,-22.99,117.01,0.0,0.00,0.0,0.0,0.0
131034160,-22.99,117.18,0.0,0.00,0.0,0.0,0.0
131120366,-22.99,117.18,0.0,0.00,0.0,0.0,0.0
131206572,-22.99,117.36,0.0,0.00,0.0,0.0,0.0
131292778,-22.99,117.36,0.0,0.00,0.0,0.0,0.0
131378984,-22.99,117.54,0.0,0.00,0.0,0.0,0.0
131465190,-22.99,117.54,0.0,0.00,0.0,0.0,0.0
131551396,-22.99,117.71,0.0,0.00,0.0,0.0,0.0
131637602,-22.99,117.71,0.0,0.00,0.0,0.0,0.0
131723808,-22.99,117.89,0.0,0.00,0.0,0.0,0.0
131810014,-22.99,117.89,0.0,0.00,0.0,0.0,0.0
131896220,-22.99,118.06,0.0,0.00,0.0,0.0,0.0
131982426,-22.99,118.06,0.0,0.00,0.0,0.0,0.0
132068632,-22.99,118.24,0.0,0.00,0.0,0.0,0.0
132154838,-22.99,118.24,0.0,0.00,0.0,0.0,0.0
132241044,-22.99,118.24,0.0,0.00,0.0,0.0,0.0
132327250,-22.99,118.42,0.0,0.00,0.0,0.0,0.0
132413456,-22.99,118.42,0.0,0.00,0.0,0.0,0.0
132499662,-22.99,118.59,0.0,0.00,0.0,0.0,0.0
132585868,-22.99,118.59,0.0,0.00,0.0,0.0,0.0
