Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
13229275,-14.13,137.07,36.2,1.49,10.1,37.6,15.6
13271300,-14.13,137.60,36.2,1.49,10.0,37.5,15.4
13313325,-14.19,138.12,36.2,1.48,9.8,37.5,15.2
13355350,-14.19,138.83,36.1,1.48,9.6,37.4,15.0
13397375,-14.19,139.35,36.0,1.48,9.5,37.3,14.8
13439400,-14.19,139.88,36.0,1.48,9.4,37.2,14.7
13481425,-14.19,140.41,35.9,1.48,9.3,37.1,14.5
13523450,-14.19,140.94,35.9,1.48,9.2,37.0,14.3
13565475,-14.19,141.64,35.8,1.48,9.0,36.9,14.1
13607500,-14.19,142.17,35.7,1.48,8.9,36.8,14.0
13649525,-14.19,142.70,35.7,1.48,8.8,36.7,13.8
13691550,-14.19,143.23,35.6,1.48,8.6,36.6,13.7
13733575,-14.13,143.75,35.5,1.49,8.6,36.5,13.6
13775600,-14.13,144.28,35.4,1.49,8.4,36.4,13.4
13817625,-14.13,144.63,35.4,1.49,8.4,36.3,13.3
13859650,-14.13,145.16,35.3,1.49,8.2,36.3,13.1
13901675,-14.13,145.69,35.3,1.49,8.1,36.2,13.0
13943700,-14.08,146.22,35.1,1.49,8.0,36.0,12.9
13985725,-14.08,146.74,35.1,1.49,7.9,36.0,12.7
14027750,-14.08,147.10,35.0,1.49,7.8,35.9,12.6
14069775,-14.02,147.62,34.9,1.50,7.7,35.7,12.5
14111800,-14.02,148.15,34.8,1.50,7.6,35.7,12.3
14153825,-14.02,148.50,34.8,1.50,7.5,35.6,12.2
14195850,-13.96,149.03,34.7,1.50,7.5,35.5,12.1
14237875,-13.96,149.38,34.6,1.50,7.4,35.4,12.0
14279900,-13.90,149.91,34.5,1.51,7.3,35.3,11.9
14321925,-13.90,150.26,34.5,1.51,7.2,35.2,11.8
14363950,-13.84,150.62,34.4,1.51,7.1,35.1,11.7
14405975,-13.84,151.14,34.3,1.51,7.0,35.0,11.6
14448000,-13.78,151.50,34.2,1.51,7.0,34.9,11.5
14490025,-13.78,151.85,34.2,1.51,6.9,34.8,11.4
14532050,-13.72,152.20,34.0,1.52,6.8,34.7,11.3
14574075,-13.67,152.55,33.9,1.52,6.8,34.6,11.3
14616100,-13.67,152.90,33.9,1.52,6.7,34.5,11.2
14658125,-13.55,153.26,33.7,1.53,6.7,34.3,11.2
14700150,-13.61,153.43,33.7,1.53,6.6,34.4,11.0
14742175,-13.55,153.78,33.6,1.53,6.5,34.3,11.0
14784200,-13.55,154.13,33.6,1.53,6.4,34.2,10.9
14826225,-13.49,154.31,33.5,1.54,6.4,34.1,10.9
14868250,-13.43,154.66,33.4,1.54,6.4,34.0,10.8
14910275,-13.43,155.01,33.3,1.54,6.3,33.9,10.7
14952300,-13.31,155.19,33.1,1.55,6.3,33.7,10.8
14994325,-13.31,155.37,33.1,1.55,6.3,33.7,10.7
15036350,-13.26,155.72,33.0,1.56,6.2,33.6,10.6
15078375,-13.20,155.89,32.9,1.56,6.2,33.5,10.6
15120400,-13.14,156.25,32.8,1.57,6.1,33.3,10.6
15162425,-13.14,156.42,32.8,1.57,6.1,33.3,10.5
15204450,-13.14,156.60,32.7,1.57,6.0,33.3,10.4
15246475,-13.02,156.95,32.5,1.58,6.0,33.1,10.4
15288500,-13.02,156.95,32.5,1.58,6.0,33.1,10.4
15330525,-12.96,157.30,32.4,1.58,5.9,32.9,10.4
15372550,-12.90,157.48,32.3,1.59,5.9,32.8,10.4
15414575,-12.90,157.65,32.3,1.59,5.9,32.8,10.3
15456600,-12.84,157.65,32.2,1.59,5.9,32.7,10.4
15498625,-12.84,157.83,32.2,1.59,5.8,32.7,10.3
15540650,-12.79,158.01,32.0,1.60,5.8,32.6,10.3
15582675,-12.73,158.18,31.9,1.60,5.8,32.5,10.3
15624700,-12.73,158.36,31.9,1.60,5.7,32.4,10.2
15666725,-12.67,158.36,31.8,1.61,5.8,32.3,10.3
15708750,-12.61,158.53,31.7,1.61,5.7,32.2,10.3
15750775,-12.55,158.71,31.6,1.62,5.7,32.1,10.3
