Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
18495684,-47.92,84.28,0.0,0.00,0.0,0.0,0.0
18602365,-46.45,85.16,0.0,0.00,0.0,0.0,0.0
18709046,-47.04,84.81,0.0,0.00,0.0,0.0,0.0
18815727,-46.69,84.99,0.0,0.00,0.0,0.0,0.0
18922408,-46.51,84.99,0.0,0.00,0.0,0.0,0.0
19029089,-46.10,85.16,0.0,0.00,0.0,0.0,0.0
19135770,-46.28,85.87,0.0,0.00,0.0,0.0,0.0
19242451,-46.33,85.51,0.0,0.00,0.0,0.0,0.0
19349132,-46.74,85.16,0.0,0.00,0.0,0.0,0.0
19455813,-47.10,84.99,0.0,0.00,0.0,0.0,0.0
19562494,-45.92,85.87,0.0,0.00,0.0,0.0,0.0
19669175,-46.92,85.69,0.0,0.00,0.0,0.0,0.0
19775856,-46.80,85.87,0.0,0.00,0.0,0.0,0.0
19882537,-46.39,86.22,0.0,0.00,0.0,0.0,0.0
19989218,-46.69,86.39,0.0,0.00,0.0,0.0,0.0
20095899,-46.33,87.62,0.0,0.00,0.0,0.0,0.0
20202580,-44.99,88.15,0.0,0.00,0.0,0.0,0.0
20309261,-45.51,86.57,0.0,0.00,0.0,0.0,0.0
20415942,-46.28,86.39,0.0,0.00,0.0,0.0,0.0
20522623,-46.28,86.74,0.0,0.00,0.0,0.0,0.0
20629304,-45.87,87.10,0.0,0.00,0.0,0.0,0.0
20735985,-45.75,87.10,0.0,0.00,0.0,0.0,0.0
20842666,-45.04,86.92,0.0,0.00,0.0,0.0,0.0
20949347,-44.16,87.10,0.0,0.00,0.0,0.0,0.0
21056028,-45.63,86.22,0.0,0.00,0.0,0.0,0.0
21162709,-43.81,87.27,0.0,0.00,0.0,0.0,0.0
21269390,-45.10,87.10,0.0,0.00,0.0,0.0,0.0
21376071,-45.81,86.92,0.0,0.00,0.0,0.0,0.0
21482752,-47.10,86.74,0.0,0.00,0.0,0.0,0.0
21589433,-46.04,87.10,0.0,0.00,0.0,0.0,0.0
21696114,-47.16,87.62,0.0,0.00,0.0,0.0,0.0
21802795,-45.10,87.98,0.0,0.00,0.0,0.0,0.0
21909476,-46.10,87.98,0.0,0.00,0.0,0.0,0.0
22016157,-45.28,87.45,0.0,0.00,0.0,0.0,0.0
22122838,-44.05,87.45,0.0,0.00,0.0,0.0,0.0
22229519,-45.75,87.80,0.0,0.00,0.0,0.0,0.0
22336200,-45.40,87.45,0.0,0.00,0.0,0.0,0.0
22442881,-44.99,87.80,0.0,0.00,0.0,0.0,0.0
22549562,-44.81,87.98,0.0,0.00,0.0,0.0,0.0
22656243,-43.64,88.15,0.0,0.00,0.0,0.0,0.0
22762924,-43.64,88.33,0.0,0.00,0.0,0.0,0.0
22869605,-44.22,88.33,0.0,0.00,0.0,0.0,0.0
22976286,-43.81,88.33,0.0,0.00,0.0,0.0,0.0
23082967,-42.23,88.50,0.0,0.00,0.0,0.0,0.0
23189648,-44.93,88.50,0.0,0.00,0.0,0.0,0.0
23296329,-44.99,88.15,0.0,0.00,0.0,0.0,0.0
23403010,-44.57,88.68,0.0,0.00,0.0,0.0,0.0
23509691,-45.10,88.86,0.0,0.00,0.0,0.0,0.0
23616372,-45.34,88.86,0.0,0.00,0.0,0.0,0.0
23723053,-44.57,88.86,0.0,0.00,0.0,0.0,0.0
23829734,-44.75,89.21,0.0,0.00,0.0,0.0,0.0
23936415,-44.81,89.21,0.0,0.00,0.0,0.0,0.0
24043096,-42.82,89.21,0.0,0.00,0.0,0.0,0.0
24149777,-45.92,89.38,0.0,0.00,0.0,0.0,0.0
24256458,-45.81,89.74,0.0,0.00,0.0,0.0,0.0
24363139,-45.28,89.74,0.0,0.00,0.0,0.0,0.0
24469820,-43.75,89.74,0.0,0.00,0.0,0.0,0.0
24576501,-43.64,90.09,0.0,0.00,0.0,0.0,0.0
24683182,-43.40,90.44,0.0,0.00,0.0,0.0,0.0
24789863,-42.93,90.44,0.0,0.00,0.0,0.0,0.0
24896544,-41.70,90.62,0.0,0.00,0.0,0.0,0.0
25003225,-43.17,91.14,0.0,0.00,0.0,0.0,0.0
25109906,-43.58,92.02,0.0,0.00,0.0,0.0,0.0
25216587,-43.64,92.38,0.0,0.00,0.0,0.0,0.0
25323268,-43.46,91.50,0.0,0.00,0.0,0.0,0.0
25429949,-43.99,90.62,0.0,0.00,0.0,0.0,0.0
25536630,-45.69,89.91,0.0,0.00,0.0,0.0,0.0
25643311,-45.04,90.09,0.0,0.00,0.0,0.0,0.0
25749992,-43.52,90.26,0.0,0.00,0.0,0.0,0.0
25856673,-42.17,90.09,0.0,0.00,0.0,0.0,0.0
25963354,-44.16,90.62,0.0,0.00,0.0,0.0,0.0
26070035,-44.52,90.97,0.0,0.00,0.0,0.0,0.0
26176716,-43.52,90.79,0.0,0.00,0.0,0.0,0.0
26283397,-45.22,90.97,0.0,0.00,0.0,0.0,0.0
26390078,-45.10,90.97,0.0,0.00,0.0,0.0,0.0
26496759,-45.04,91.14,0.0,0.00,0.0,0.0,0.0
26603440,-45.10,91.50,0.0,0.00,0.0,0.0,0.0
26710121,-44.99,91.67,0.0,0.00,0.0,0.0,0.0
26816802,-45.22,91.85,0.0,0.00,0.0,0.0,0.0
26923483,-44.75,92.02,0.0,0.00,0.0,0.0,0.0
27030164,-45.04,92.20,0.0,0.00,0.0,0.0,0.0
27136845,-45.22,92.38,0.0,0.00,0.0,0.0,0.0
27243526,-46.80,92.90,0.0,0.00,0.0,0.0,0.0
27350207,-44.93,92.38,0.0,0.00,0.0,0.0,0.0
27456888,-45.34,92.73,0.0,0.00,0.0,0.0,0.0
27563569,-43.75,92.38,0.0,0.00,0.0,0.0,0.0
27670250,-45.34,92.90,0.0,0.00,0.0,0.0,0.0
27776931,-44.81,93.26,0.0,0.00,0.0,0.0,0.0
27883612,-45.51,93.78,0.0,0.00,0.0,0.0,0.0
27990293,-44.11,93.43,0.0,0.00,0.0,0.0,0.0
28096974,-44.52,93.43,0.0,0.00,0.0,0.0,0.0
28203655,-45.10,94.13,0.0,0.00,0.0,0.0,0.0
28310336,-44.93,94.66,0.0,0.00,0.0,0.0,0.0
28417017,-45.10,95.01,0.0,0.00,0.0,0.0,0.0
28523698,-44.57,94.66,0.0,0.00,0.0,0.0,0.0
28630379,-44.11,94.66,0.0,0.00,0.0,0.0,0.0
28737060,-44.93,95.37,0.0,0.00,0.0,0.0,0.0
28843741,-44.28,95.01,0.0,0.00,0.0,0.0,0.0
28950422,-43.87,95.01,0.0,0.00,0.0,0.0,0.0
29057103,-44.05,95.19,0.0,0.00,0.0,0.0,0.0
29163784,-43.64,95.72,0.0,0.00,0.0,0.0,0.0
29270465,-43.52,96.07,0.0,0.00,0.0,0.0,0.0
29377146,-44.16,96.25,0.0,0.00,0.0,0.0,0.0
