Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
152030521,-0.88,33.08,30.3,19.76,163.2,166.0,79.5
152223408,-0.82,35.01,25.5,21.17,154.7,156.8,80.6
152416295,-0.82,36.95,23.1,21.17,146.4,148.2,81.0
152609182,-0.76,38.89,19.5,22.80,139.2,140.6,82.0
152802069,-0.76,40.65,17.9,22.80,132.9,134.1,82.3
152994956,-0.76,42.58,16.4,22.80,126.5,127.5,82.6
153187843,-0.70,44.52,14.0,24.70,120.8,121.6,83.4
153380730,-0.70,46.45,12.9,24.70,115.3,116.0,83.6
153573617,-0.65,48.39,11.0,26.94,110.4,110.9,84.3
153766504,-0.65,50.32,10.2,26.94,105.6,106.1,84.5
153959391,-0.59,52.26,8.7,29.63,101.3,101.7,85.1
154152278,-0.59,54.37,8.1,29.63,96.8,97.2,85.2
154345165,-0.53,56.30,6.8,32.92,93.0,93.3,85.8
154538052,-0.53,58.24,6.4,32.92,89.4,89.6,85.9
154730939,-0.47,60.18,5.4,37.03,86.0,86.2,86.4
154923826,-0.47,62.11,5.1,37.03,82.8,83.0,86.5
155116713,-0.41,64.05,4.2,42.32,79.8,79.9,87.0
155309600,-0.41,66.16,4.0,42.32,76.6,76.7,87.0
155502487,-0.35,68.09,3.2,49.37,73.9,74.0,87.5
155695374,-0.35,70.03,3.1,49.37,71.3,71.3,87.5
155888261,-0.29,72.14,2.4,59.24,68.6,68.6,88.0
156081148,-0.23,74.08,1.9,74.05,66.2,66.3,88.4
156274035,-0.23,76.19,1.8,74.05,63.8,63.8,88.4
156466922,-0.18,78.12,1.3,98.73,61.6,61.6,88.8
156659809,-0.12,80.23,0.8,148.10,59.3,59.3,89.2
156852696,-0.12,82.35,0.8,148.10,57.2,57.2,89.2
157045583,-0.06,84.46,0.4,296.19,55.1,55.1,89.6
157238470,-0.00,86.39,0.0,?,53.3,53.3,90.0
157431357,-0.00,88.50,0.0,?,51.3,51.3,90.0
157624244,0.06,90.62,0.3,296.19,49.5,49.5,89.6
157817131,0.12,92.73,0.6,148.10,47.7,47.7,89.2
158010018,0.12,95.01,0.6,148.10,45.8,45.8,89.2
158202905,0.18,97.13,0.9,98.73,44.1,44.1,88.8
158395792,0.18,99.24,0.9,98.73,42.5,42.5,88.8
158588679,0.23,101.52,1.1,74.05,40.8,40.8,88.4
158781566,0.29,103.64,1.4,59.24,39.3,39.3,88.0
158974453,0.29,105.92,1.3,59.24,37.7,37.7,88.0
159167340,0.41,108.04,1.8,42.32,36.3,36.3,87.2
159360227,0.47,110.15,2.0,37.03,34.9,34.9,86.7
159553114,0.47,112.43,2.0,37.03,33.4,33.5,86.7
159746001,0.53,114.72,2.1,32.92,32.0,32.1,86.2
159938888,0.53,117.01,2.1,32.92,30.6,30.7,86.1
160131775,0.53,119.12,2.0,32.92,29.3,29.4,86.0
160324662,0.59,121.41,2.2,29.63,28.0,28.1,85.5
160517549,0.59,123.70,2.2,29.63,26.7,26.8,85.4
160710436,0.65,125.98,2.3,26.94,25.4,25.5,84.8
160903323,0.65,128.27,2.3,26.94,24.2,24.3,84.6
161096210,0.65,130.56,2.2,26.94,23.0,23.1,84.4
161289097,0.65,132.67,2.2,26.94,21.9,22.0,84.2
161481984,0.70,134.96,2.4,24.70,20.7,20.8,83.5
161674871,0.70,137.24,2.3,24.70,19.5,19.7,83.2
161867758,0.70,139.35,2.3,24.70,18.5,18.6,82.9
162060645,0.76,141.47,2.5,22.80,17.4,17.6,82.0
162253532,0.76,143.75,2.4,22.80,16.3,16.5,81.5
162446419,0.76,146.04,2.4,22.80,15.2,15.4,81.1
162639306,0.82,148.33,2.6,21.17,14.1,14.4,79.8
162832193,0.82,150.62,2.5,21.17,13.1,13.3,79.1
163025080,0.82,152.73,2.5,21.17,12.1,12.4,78.3
163217967,0.82,155.01,2.5,21.17,11.1,11.3,77.4
163410854,0.88,157.30,2.6,19.76,10.0,10.3,75.3
163603741,0.88,159.59,2.6,19.76,9.0,9.3,73.8
163796628,0.88,161.88,2.6,19.76,8.0,8.4,71.9
163989515,0.88,164.16,2.6,19.76,6.9,7.4,69.6
164182402,0.88,166.45,2.6,19.76,5.9,6.5,66.6
164375289,0.88,168.74,2.6,19.76,4.9,5.5,62.5
164568176,0.88,170.85,2.5,19.76,4.0,4.7,57.5
164761063,0.88,173.14,2.5,19.76,3.0,3.9,49.7
164953950,0.88,175.43,2.5,19.76,2.0,3.2,38.2
165146837,0.88,177.71,2.5,19.76,1.0,2.7,21.5
165339724,0.88,179.82,2.5,19.76,0.1,2.5,1.7
165532611,0.88,180.00,2.5,19.76,0.0,2.5,0.0
165725498,0.88,180.00,2.5,19.76,0.0,2.5,0.0
165918385,0.88,180.00,2.5,19.76,0.0,2.5,0.0
166111272,0.88,180.00,2.5,19.76,0.0,2.5,0.0
166304159,0.88,177.71,2.5,19.76,1.0,2.7,21.5
166497046,0.82,175.43,2.4,21.17,2.0,3.1,40.1
166689933,0.82,173.31,2.4,21.17,2.9,3.8,50.9
166882820,0.82,171.03,2.4,21.17,3.9,4.6,58.7
167075707,0.82,168.91,2.4,21.17,4.8,5.4,63.8
167268594,0.76,166.63,2.2,22.80,5.9,6.3,69.2
167461481,0.76,164.52,2.2,22.80,6.8,7.1,71.8
167654368,0.76,162.40,2.2,22.80,7.7,8.0,73.8
167847255,0.70,160.12,2.1,24.70,8.7,9.0,76.6
168040142,0.70,158.01,2.1,24.70,9.7,9.9,77.8
168233029,0.70,155.89,2.1,24.70,10.7,10.9,78.8
168425916,0.65,153.61,2.0,26.94,11.7,11.9,80.5
168618803,0.65,151.50,2.0,26.94,12.7,12.8,81.1
168811690,0.65,149.38,2.0,26.94,13.7,13.8,81.7
169004577,0.59,147.27,1.8,29.63,14.7,14.8,82.9
169197464,0.59,145.16,1.9,29.63,15.7,15.8,83.3
169390351,0.53,143.05,1.7,32.92,16.7,16.8,84.2
169583238,0.53,140.94,1.7,32.92,17.7,17.8,84.5
169776125,0.47,139.00,1.5,37.03,18.7,18.7,85.3
169969012,0.47,136.89,1.6,37.03,19.7,19.8,85.5
170161899,0.41,134.78,1.4,42.32,20.8,20.9,86.2
170354786,0.41,132.67,1.4,42.32,21.9,21.9,86.3
170547673,0.35,130.56,1.2,49.37,23.0,23.0,86.9
170740560,0.29,128.62,1.0,59.24,24.0,24.1,87.5
170933447,0.29,126.51,1.1,59.24,25.2,25.2,87.6
171126334,0.23,124.57,0.9,74.05,26.3,26.3,88.1
171319221,0.18,122.46,0.7,98.73,27.4,27.5,88.6
171512108,0.18,120.53,0.7,98.73,28.6,28.6,88.7
171704995,0.12,118.42,0.5,148.10,29.8,29.8,89.1
171897882,0.06,116.48,0.2,296.19,31.0,31.0,89.6
172090769,0.06,114.55,0.2,296.19,32.1,32.1,89.6
172283656,-0.00,112.61,0.0,?,33.3,33.3,90.0
172476543,-0.00,110.67,0.0,?,34.6,34.6,90.0
172669430,-0.06,108.74,0.3,296.19,35.8,35.8,89.6
172862317,-0.12,106.80,0.5,148.10,37.1,37.1,89.2
173055204,-0.18,104.87,0.8,98.73,38.5,38.5,88.8
173248091,-0.18,102.93,0.8,98.73,39.8,39.8,88.8
173440978,-0.23,101.00,1.1,74.05,41.2,41.2,88.4
173633865,-0.29,99.24,1.5,59.24,42.5,42.5,88.0
173826752,-0.29,97.30,1.5,59.24,44.0,44.0,88.1
174019639,-0.35,95.37,1.9,49.37,45.5,45.5,87.7
174212526,-0.41,93.43,2.2,42.32,47.0,47.1,87.3
174405413,-0.41,91.67,2.3,42.32,48.5,48.6,87.3
174598300,-0.47,89.91,2.7,37.03,50.0,50.1,86.9
174791187,-0.53,87.98,3.1,32.92,51.7,51.8,86.5
174984074,-0.53,86.22,3.2,32.92,53.3,53.4,86.5
175176961,-0.53,84.46,3.4,32.92,55.0,55.1,86.5
175369848,-0.53,82.52,3.5,32.92,56.9,57.0,86.5
175562735,-0.59,80.76,4.0,29.63,58.6,58.8,86.1
175755622,-0.59,79.00,4.2,29.63,60.5,60.6,86.1
175948509,-0.65,77.24,4.8,26.94,62.4,62.5,85.6
176141396,-0.70,75.66,5.4,24.70,64.1,64.3,85.2
176334283,-0.70,73.90,5.6,24.70,66.2,66.4,85.2
