Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
17011525,-16.83,113.84,43.1,1.34,11.6,44.6,15.1
17053550,-16.72,114.37,42.9,1.34,11.6,44.4,15.2
17095575,-16.60,114.90,42.7,1.35,11.7,44.2,15.3
17137600,-16.54,115.25,42.5,1.35,11.7,44.1,15.4
17179625,-16.48,115.78,42.4,1.35,11.7,44.0,15.4
17221650,-16.36,116.13,42.2,1.36,11.8,43.8,15.6
17263675,-16.25,116.66,42.0,1.36,11.8,43.6,15.8
17305700,-16.19,117.01,41.9,1.37,11.9,43.5,15.8
17347725,-16.07,117.54,41.7,1.37,11.9,43.3,16.0
17389750,-16.01,117.89,41.6,1.38,11.9,43.2,16.0
17431775,-15.95,118.24,41.4,1.38,11.9,43.1,16.1
17473800,-15.84,118.77,41.2,1.39,12.0,42.9,16.2
17515825,-15.78,119.12,41.1,1.39,12.0,42.8,16.3
17557850,-15.66,119.47,40.9,1.39,12.1,42.6,16.4
17599875,-15.60,119.82,40.8,1.40,12.1,42.5,16.5
17641900,-15.54,120.18,40.6,1.40,12.1,42.4,16.5
17683925,-15.48,120.70,40.5,1.40,12.1,42.2,16.6
17725950,-15.37,121.06,40.3,1.41,12.1,42.1,16.7
17767975,-15.31,121.41,40.2,1.41,12.1,41.9,16.8
17810000,-15.25,121.76,40.0,1.42,12.1,41.8,16.9
17852025,-15.13,122.11,39.8,1.42,12.2,41.7,17.0
17894050,-15.07,122.46,39.7,1.43,12.2,41.5,17.1
17936075,-15.01,122.82,39.6,1.43,12.2,41.4,17.1
17978100,-14.96,123.17,39.4,1.44,12.2,41.3,17.2
18020125,-14.90,123.52,39.3,1.44,12.2,41.1,17.2
18062150,-14.84,123.70,39.2,1.44,12.2,41.1,17.3
18104175,-14.78,124.05,39.1,1.45,12.2,40.9,17.4
18146200,-14.66,124.40,38.8,1.45,12.3,40.7,17.5
18188225,-14.60,124.75,38.7,1.46,12.3,40.6,17.6
18230250,-14.55,125.10,38.6,1.46,12.3,40.5,17.6
18272275,-14.49,125.45,38.4,1.47,12.3,40.3,17.7
18314300,-14.43,125.63,38.3,1.47,12.3,40.2,17.8
18356325,-14.37,125.98,38.2,1.47,12.3,40.1,17.8
18398350,-14.31,126.33,38.1,1.48,12.3,40.0,17.9
18440375,-14.25,126.51,37.9,1.48,12.3,39.9,17.9
18482400,-14.19,126.86,37.8,1.48,12.3,39.7,18.0
18524425,-14.13,127.21,37.7,1.49,12.3,39.6,18.0
18566450,-14.08,127.39,37.6,1.49,12.3,39.5,18.1
18608475,-14.02,127.74,37.4,1.50,12.3,39.4,18.2
