Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
36491208,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
36684095,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
36876982,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
37069869,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
37262756,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
37455643,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
37648530,-0.06,1.41,1040.2,296.19,3784.3,3924.7,74.6
37841417,-0.12,1.58,1427.3,148.10,2920.5,3250.6,64.0
38034304,-0.06,1.58,834.2,296.19,3414.1,3514.5,76.3
38227191,-0.12,1.58,1427.3,148.10,2920.5,3250.6,64.0
38420078,-0.12,1.58,1427.3,148.10,2920.5,3250.6,64.0
38612965,-0.12,1.58,1427.3,148.10,2920.5,3250.6,64.0
38805852,-0.12,1.58,1427.3,148.10,2920.5,3250.6,64.0
38998739,-0.12,1.58,1427.3,148.10,2920.5,3250.6,64.0
39191626,-0.12,1.58,1427.3,148.10,2920.5,3250.6,64.0
39384513,-0.12,1.76,1200.1,148.10,2728.4,2980.6,66.3
39577400,-0.12,1.76,1200.1,148.10,2728.4,2980.6,66.3
39770287,-0.12,1.76,1200.1,148.10,2728.4,2980.6,66.3
39963174,-0.06,1.76,683.0,296.19,3105.9,3180.1,77.6
40156061,-0.06,1.94,569.1,296.19,2846.3,2902.6,78.7
40348948,-0.12,1.94,1020.5,148.10,2552.1,2748.5,68.2
40541835,-0.06,1.94,569.1,296.19,2846.3,2902.6,78.7
40734722,-0.12,1.94,1020.5,148.10,2552.1,2748.5,68.2
40927609,-0.06,1.94,569.1,296.19,2846.3,2902.6,78.7
41120496,-0.06,2.11,481.1,296.19,2625.1,2668.9,79.6
41313383,-0.06,2.11,481.1,296.19,2625.1,2668.9,79.6
41506270,-0.06,2.11,481.1,296.19,2625.1,2668.9,79.6
41699157,-0.06,2.11,481.1,296.19,2625.1,2668.9,79.6
41892044,-0.06,2.29,411.9,296.19,2434.9,2469.5,80.4
42084931,-0.06,2.29,411.9,296.19,2434.9,2469.5,80.4
42277818,-0.06,2.29,411.9,296.19,2434.9,2469.5,80.4
42470705,-0.06,2.46,356.6,296.19,2269.6,2297.4,81.1
42663592,-0.06,2.46,356.6,296.19,2269.6,2297.4,81.1
42856479,-0.06,2.46,356.6,296.19,2269.6,2297.4,81.1
43049366,-0.06,2.64,311.6,296.19,2124.8,2147.5,81.7
43242253,-0.06,2.64,311.6,296.19,2124.8,2147.5,81.7
43435140,-0.06,2.64,311.6,296.19,2124.8,2147.5,81.7
43628027,-0.06,2.82,274.6,296.19,1997.1,2015.8,82.2
43820914,-0.18,2.82,717.3,98.73,1739.1,1881.2,67.6
44013801,-0.06,2.82,274.6,296.19,1997.1,2015.8,82.2
44206688,-0.06,2.99,243.7,296.19,1883.5,1899.2,82.6
44399575,-0.06,2.99,243.7,296.19,1883.5,1899.2,82.6
44592462,-0.06,3.17,217.8,296.19,1782.0,1795.3,83.0
44785349,-0.06,3.17,217.8,296.19,1782.0,1795.3,83.0
44978236,-0.06,3.17,217.8,296.19,1782.0,1795.3,83.0
45171123,-0.06,3.34,195.8,296.19,1690.7,1702.0,83.4
45364010,-0.06,3.34,195.8,296.19,1690.7,1702.0,83.4
45556897,-0.06,3.52,176.9,296.19,1608.2,1617.9,83.7
45749784,-0.06,3.52,176.9,296.19,1608.2,1617.9,83.7
45942671,-0.06,3.52,176.9,296.19,1608.2,1617.9,83.7
46135558,-0.06,3.70,160.7,296.19,1533.3,1541.7,84.0
46328445,-0.06,3.70,160.7,296.19,1533.3,1541.7,84.0
46521332,-0.06,3.87,146.5,296.19,1464.9,1472.2,84.3
46714219,-0.06,3.87,146.5,296.19,1464.9,1472.2,84.3
46907106,-0.06,4.05,134.2,296.19,1402.4,1408.8,84.5
