Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
95514630,-0.76,15.84,105.1,22.80,326.4,342.9,72.1
95707517,-0.76,14.60,121.5,22.80,348.6,369.2,70.8
95900404,-0.76,13.37,141.9,22.80,373.4,399.5,69.2
96093291,-0.76,12.14,167.6,22.80,401.0,434.6,67.3
96286178,-0.76,10.91,200.4,22.80,431.6,475.8,65.1
96479065,-0.76,9.68,243.0,22.80,464.7,524.4,62.4
96671952,-0.76,8.62,290.0,22.80,494.6,573.3,59.6
96864839,-0.76,7.39,361.4,22.80,528.8,640.5,55.7
97057726,-0.76,6.33,441.2,22.80,553.8,708.1,51.5
97250613,-0.76,5.10,562.1,22.80,568.8,799.7,45.3
97443500,-0.76,4.05,692.2,22.80,555.8,887.7,38.8
97636387,-0.76,3.17,816.5,22.80,513.2,964.4,32.2
97829274,-0.76,2.46,919.5,22.80,449.6,1023.6,26.1
98022161,-0.70,1.94,1052.1,24.70,438.0,1139.6,22.6
98215048,-0.70,1.58,1106.2,24.70,376.8,1168.6,18.8
98407935,-0.76,1.41,1057.2,22.80,295.5,1097.7,15.6
98600822,-0.76,1.23,1075.5,22.80,263.0,1107.2,13.7
98793709,-0.70,1.23,1153.6,24.70,305.7,1193.5,14.8
98986596,-0.70,1.23,1153.6,24.70,305.7,1193.5,14.8
99179483,-0.70,1.41,1130.9,24.70,342.5,1181.6,16.8
99372370,-0.65,1.58,1183.2,26.94,439.8,1262.3,20.4
99565257,-0.65,1.94,1116.2,26.94,507.1,1226.0,24.4
99758144,-0.65,2.29,1045.2,26.94,561.1,1186.3,28.2
99951031,-0.65,2.99,901.8,26.94,632.9,1101.7,35.1
100143918,-0.65,3.87,737.4,26.94,669.6,996.0,42.2
100336805,-0.65,4.93,575.9,26.94,665.3,879.9,49.1
100529692,-0.65,5.98,453.0,26.94,635.1,780.1,54.5
100722579,-0.65,7.04,361.1,26.94,595.1,696.1,58.8
100915466,-0.65,8.27,282.5,26.94,546.6,615.3,62.7
101108353,-0.65,9.50,225.6,26.94,500.9,549.3,65.8
101301240,-0.65,10.73,183.5,26.94,459.7,495.0,68.2
101494127,-0.65,11.79,155.8,26.94,428.3,455.7,70.0
101687014,-0.65,13.02,130.6,26.94,395.7,416.7,71.7
101879901,-0.65,14.25,110.8,26.94,367.0,383.4,73.2
102072788,-0.65,15.66,93.2,26.94,338.4,351.0,74.6
102265675,-0.59,16.89,74.4,29.63,319.8,328.4,76.9
102458562,-0.59,18.12,65.1,29.63,299.7,306.7,77.7
102651449,-0.59,19.35,57.5,29.63,281.8,287.6,78.5
102844336,-0.59,20.59,51.1,29.63,265.8,270.7,79.1
103037223,-0.59,21.82,45.7,29.63,251.4,255.5,79.7
103230110,-0.59,23.05,41.1,29.63,238.4,241.9,80.2
103422997,-0.59,24.46,36.7,29.63,225.0,228.0,80.7
103615884,-0.59,25.69,33.4,29.63,214.3,216.9,81.1
103808771,-0.53,26.92,27.6,32.92,205.4,207.2,82.4
104001658,-0.53,28.15,25.3,32.92,196.3,198.0,82.7
104194545,-0.53,29.38,23.3,32.92,188.0,189.4,82.9
104387432,-0.53,30.79,21.3,32.92,179.2,180.5,83.2
104580319,-0.53,32.02,19.7,32.92,172.1,173.3,83.5
104773206,-0.53,33.26,18.4,32.92,165.6,166.6,83.7
104966093,-0.47,34.49,15.2,37.03,159.8,160.5,84.5
105158980,-0.47,35.89,14.1,37.03,153.2,153.8,84.7
105351867,-0.47,37.13,13.2,37.03,147.8,148.4,84.9
105544754,-0.47,38.36,12.4,37.03,142.8,143.3,85.0
105737641,-0.47,39.77,11.6,37.03,137.4,137.9,85.2
105930528,-0.47,41.00,11.0,37.03,133.0,133.4,85.3
106123415,-0.41,42.23,9.1,42.32,128.9,129.2,86.0
106316302,-0.41,43.64,8.5,42.32,124.4,124.7,86.1
106509189,-0.41,45.04,8.0,42.32,120.1,120.4,86.2
106702076,-0.41,46.28,7.6,42.32,116.6,116.8,86.3
106894963,-0.35,47.68,6.2,49.37,112.9,113.0,86.9
107087850,-0.35,48.91,5.9,49.37,109.7,109.8,86.9
107280737,-0.35,50.32,5.6,49.37,106.2,106.3,87.0
