Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
33431024,0.29,80.41,2.0,59.36,59.1,59.2,88.0
33537705,0.29,79.35,2.1,59.36,60.2,60.3,88.0
33644386,0.29,78.30,2.1,59.36,61.4,61.4,88.0
33751067,0.29,77.07,2.2,59.36,62.7,62.8,88.0
33857748,0.29,76.01,2.2,59.36,63.9,64.0,88.0
33964429,0.29,74.96,2.3,59.36,65.2,65.2,88.0
34071110,0.29,73.72,2.3,59.36,66.6,66.7,88.0
34177791,0.29,72.67,2.4,59.36,67.9,68.0,88.0
34284472,0.29,71.61,2.5,59.36,69.3,69.3,88.0
34391153,0.29,70.38,2.5,59.36,70.8,70.9,88.0
34497834,0.23,69.33,2.1,74.20,72.3,72.3,88.3
34604515,0.23,68.27,2.1,74.20,73.7,73.7,88.3
34711196,0.29,67.04,2.8,59.36,75.4,75.5,87.9
34817877,0.23,65.98,2.3,74.20,77.0,77.0,88.3
34924558,0.18,64.75,1.8,98.93,78.8,78.9,88.7
35031239,0.06,63.70,0.6,296.77,80.5,80.5,89.6
35137920,-0.12,62.99,1.2,148.39,81.6,81.6,89.1
35244601,-0.06,63.17,0.6,296.77,81.3,81.3,89.6
35351282,-0.00,63.34,0.0,?,81.0,81.0,90.0
35457963,0.06,62.46,0.6,296.77,82.5,82.5,89.6
35564644,0.12,61.58,1.3,148.39,83.9,83.9,89.1
35671325,0.12,60.53,1.3,148.39,85.7,85.7,89.1
35778006,0.12,59.65,1.4,148.39,87.2,87.2,89.1
35884687,0.18,58.59,2.1,98.93,89.1,89.1,88.6
35991368,0.18,57.54,2.2,98.93,91.0,91.1,88.6
36098049,0.18,56.66,2.2,98.93,92.7,92.7,88.6
36204730,0.12,55.60,1.5,148.39,94.8,94.8,89.1
36311411,0.12,54.72,1.6,148.39,96.6,96.6,89.1
36418092,0.12,53.84,1.6,148.39,98.4,98.5,89.0
36524773,0.12,52.79,1.7,148.39,100.7,100.7,89.0
36631454,0.12,51.91,1.8,148.39,102.7,102.7,89.0
36738135,0.12,51.03,1.8,148.39,104.7,104.8,89.0
36844816,0.12,50.15,1.9,148.39,106.8,106.9,89.0
36951497,0.12,49.27,1.9,148.39,109.0,109.0,89.0
37058178,0.12,48.39,2.0,148.39,111.3,111.3,89.0
37164859,0.12,47.51,2.1,148.39,113.6,113.6,89.0
37271540,0.06,46.63,1.1,296.77,116.0,116.0,89.5
37378221,0.06,45.57,1.1,296.77,119.0,119.0,89.5
37484902,0.06,44.87,1.2,296.77,121.1,121.1,89.5
37591583,0.06,43.81,1.2,296.77,124.3,124.3,89.4
37698264,0.06,43.11,1.2,296.77,126.6,126.6,89.4
37804945,0.06,42.23,1.3,296.77,129.5,129.5,89.4
37911626,0.03,41.35,0.6,661.07,132.5,132.5,89.7
38018307,0.04,40.47,0.9,443.01,135.6,135.6,89.6
38124988,-0.00,39.59,0.0,?,138.9,138.9,90.0
38231669,-0.00,38.71,0.0,?,142.3,142.3,90.0
38338350,-0.00,37.83,0.0,?,145.9,145.9,90.0
38445031,-0.00,36.95,0.0,?,149.7,149.7,90.0
38551712,-0.00,36.07,0.0,?,153.6,153.6,90.0
38658393,-0.06,35.19,1.8,296.77,157.6,157.7,89.3
38765074,-0.06,34.31,1.9,296.77,161.9,162.0,89.3
38871755,-0.06,33.43,2.0,296.77,166.5,166.5,89.3
38978436,-0.06,32.55,2.1,296.77,171.2,171.2,89.3
39085117,-0.06,31.67,2.3,296.77,176.2,176.3,89.3
39191798,-0.06,30.79,2.4,296.77,181.5,181.6,89.2
39298479,-0.06,29.91,2.5,296.77,187.1,187.2,89.2
39405160,-0.06,29.03,2.7,296.77,193.1,193.1,89.2
39511841,-0.12,28.15,5.7,148.39,199.3,199.3,88.4
39618522,-0.12,27.27,6.1,148.39,205.9,206.0,88.3
39725203,-0.12,26.39,6.5,148.39,213.0,213.1,88.3
39831884,-0.18,25.34,10.5,98.93,222.0,222.2,87.3
39938565,-0.23,24.46,15.0,74.20,229.8,230.3,86.3
40045246,-0.29,23.58,20.0,59.36,238.0,238.8,85.2
40151927,-0.35,23.05,25.1,49.47,242.7,244.0,84.1
40258608,-0.35,22.52,26.2,49.47,248.5,249.8,84.0
40365289,-0.29,21.99,23.0,59.36,255.3,256.3,84.9
40471970,-0.29,21.47,24.1,59.36,261.6,262.7,84.7
40578651,-0.29,20.76,25.7,59.36,270.6,271.8,84.6
40685332,-0.23,19.88,22.5,74.20,283.5,284.4,85.5
40792013,-0.27,19.00,28.1,64.73,296.1,297.5,84.6
40898694,-0.29,18.12,33.6,59.36,310.0,311.8,83.8
41005375,-0.29,17.24,37.0,59.36,325.7,327.7,83.5
41112056,-0.29,16.36,41.0,59.36,343.0,345.4,83.2
41218737,-0.29,15.48,45.7,59.36,362.1,365.0,82.8
41325418,-0.29,14.78,50.1,59.36,379.0,382.3,82.5
41432099,-0.29,13.90,56.4,59.36,402.4,406.3,82.0
41538780,-0.29,13.02,64.6,58.91,428.5,433.4,81.4
41645461,-0.30,12.14,76.0,57.26,457.7,463.9,80.6
41752142,-0.35,11.26,100.8,49.47,486.5,496.8,78.3
41858823,-0.35,10.56,114.0,49.47,516.2,528.7,77.6
41965504,-0.35,9.68,134.4,49.47,558.6,574.5,76.5
42072185,-0.35,8.97,154.9,49.47,597.3,617.0,75.5
42178866,-0.35,8.09,187.6,49.47,653.1,679.5,74.0
42285547,-0.35,7.39,221.6,49.47,704.9,738.9,72.5
42392228,-0.35,6.69,265.4,49.47,764.1,808.9,70.8
42498909,-0.41,5.98,359.8,42.40,794.5,872.2,65.6
42605590,-0.41,5.10,464.9,42.40,876.1,991.8,62.0
42712271,-0.41,4.40,581.4,42.40,944.9,1109.4,58.4
42818952,-0.41,3.70,739.3,42.40,1009.6,1251.3,53.8
42925633,-0.41,2.99,953.2,42.40,1054.0,1421.1,47.9
43032314,-0.47,2.46,1134.2,37.10,903.8,1450.3,38.5
43138995,-0.51,2.11,1221.7,34.03,765.2,1441.5,32.1
43245676,-0.59,1.76,1229.3,29.69,559.6,1350.7,24.5
43352357,-0.59,1.58,1270.8,29.69,520.7,1373.3,22.3
43459038,-0.53,1.41,1416.8,32.98,573.5,1528.5,22.0
43565719,-0.53,1.41,1416.8,32.98,573.5,1528.5,22.0
43672400,-0.53,1.23,1465.2,32.98,518.9,1554.4,19.5
43779081,-0.59,1.23,1347.4,29.69,429.4,1414.1,17.7
43885762,-0.59,1.23,1347.4,29.69,429.4,1414.1,17.7
43992443,-0.59,1.23,1347.4,29.69,429.4,1414.1,17.7
44099124,-0.59,1.23,1347.4,29.69,429.4,1414.1,17.7
44205805,-0.59,1.41,1310.3,29.69,477.3,1394.6,20.0
44312486,-0.59,1.41,1310.3,29.69,477.3,1394.6,20.0
44419167,-0.64,1.58,1184.9,26.99,441.3,1264.5,20.4
44525848,-0.64,1.76,1152.0,26.99,476.7,1246.7,22.5
44632529,-0.64,2.29,1046.3,26.99,562.8,1188.1,28.3
44739210,-0.64,2.64,973.8,26.99,604.3,1146.1,31.8
44845891,-0.64,3.17,867.5,26.99,646.0,1081.6,36.7
44952572,-0.70,4.05,702.1,24.74,612.1,931.4,41.1
45059253,-0.82,4.75,598.8,21.21,524.9,796.3,41.2
45165934,-0.88,5.28,541.2,19.80,491.7,731.2,42.3
45272615,-0.88,5.63,509.4,19.80,493.6,709.3,44.1
45379296,-0.88,5.81,494.2,19.80,493.8,698.6,45.0
45485977,-0.82,6.33,447.4,21.21,522.4,687.8,49.4
45592658,-0.88,7.04,400.3,19.80,484.3,628.3,50.4
45699339,-0.82,7.74,348.2,21.21,496.4,606.3,55.0
45806020,-0.82,8.45,308.8,21.21,480.0,570.8,57.2
45912701,-0.82,9.15,275.0,21.21,462.8,538.4,59.3
46019382,-0.82,9.85,246.0,21.21,445.5,508.9,61.1
