Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
13461092,-3.91,42.93,62.8,4.52,91.8,111.2,55.6
13524669,-3.86,43.81,60.6,4.57,91.3,109.6,56.4
13588246,-3.80,44.52,58.8,4.64,91.2,108.5,57.2
13651823,-3.75,45.22,57.0,4.71,91.0,107.4,57.9
13715400,-3.69,46.10,54.9,4.78,90.5,105.9,58.7
13778977,-3.63,46.80,53.2,4.86,90.2,104.7,59.5
13842554,-3.57,47.68,51.2,4.93,89.6,103.3,60.2
13906131,-3.51,48.39,49.6,5.01,89.3,102.1,60.9
13969708,-3.45,49.09,48.0,5.10,88.9,101.0,61.6
14033285,-3.40,49.97,46.2,5.18,88.2,99.5,62.4
14096862,-3.40,50.67,45.2,5.18,87.2,98.2,62.6
14160439,-3.34,51.38,43.7,5.27,86.7,97.1,63.3
14224016,-3.28,52.26,42.0,5.36,86.0,95.7,64.0
14287593,-3.22,52.96,40.6,5.46,85.4,94.6,64.6
14351170,-3.16,53.67,39.2,5.56,84.9,93.5,65.2
14414747,-3.16,54.55,38.2,5.56,83.6,92.0,65.5
14478324,-3.10,55.25,36.9,5.66,83.1,90.9,66.1
14541901,-3.04,55.95,35.6,5.77,82.5,89.9,66.7
14605478,-2.99,56.66,34.4,5.88,81.9,88.8,67.2
14669055,-3.04,57.36,34.2,5.77,80.6,87.5,67.0
14732632,-2.99,58.24,32.9,5.88,79.7,86.2,67.6
14796209,-2.93,58.94,31.7,5.99,79.1,85.2,68.2
14859786,-2.93,59.65,31.1,5.99,78.2,84.1,68.3
14923363,-2.87,60.35,30.0,6.11,77.5,83.2,68.8
14986940,-2.81,61.06,28.9,6.24,76.9,82.2,69.4
15050517,-2.81,61.94,28.3,6.24,75.8,80.9,69.5
15114094,-2.75,62.64,27.2,6.37,75.1,79.9,70.1
15177671,-2.69,63.34,26.3,6.50,74.5,79.0,70.6
15241248,-2.69,64.05,25.8,6.50,73.6,78.0,70.7
15304825,-2.63,64.75,24.8,6.65,73.0,77.1,71.2
15368402,-2.63,65.45,24.4,6.65,72.1,76.1,71.3
15431979,-2.58,66.16,23.5,6.79,71.4,75.2,71.8
15495556,-2.58,66.86,23.1,6.79,70.6,74.3,71.9
15559133,-2.52,67.57,22.2,6.95,70.0,73.4,72.4
15622710,-2.46,68.27,21.4,7.11,69.3,72.5,72.8
15686287,-2.46,69.15,21.0,7.11,68.3,71.4,72.9
15749864,-2.40,69.85,20.2,7.28,67.6,70.6,73.4
15813441,-2.40,70.56,19.8,7.28,66.8,69.7,73.5
15877018,-2.34,71.26,19.1,7.46,66.2,68.9,73.9
15940595,-2.34,71.96,18.8,7.46,65.4,68.0,74.0
16004172,-2.28,72.67,18.0,7.65,64.8,67.2,74.4
16067749,-2.28,73.37,17.8,7.65,64.0,66.4,74.5
16131326,-2.22,74.08,17.1,7.85,63.4,65.6,74.9
16194903,-2.22,74.78,16.8,7.85,62.6,64.8,75.0
16258480,-2.17,75.48,16.1,8.06,62.0,64.1,75.4
16322057,-2.17,76.19,15.9,8.06,61.3,63.3,75.5
16385634,-2.11,76.89,15.3,8.28,60.7,62.6,75.9
16449211,-2.11,77.60,15.0,8.28,59.9,61.8,75.9
16512788,-2.05,78.30,14.4,8.52,59.3,61.1,76.3
16576365,-2.05,79.00,14.2,8.52,58.6,60.3,76.4
16639942,-2.05,79.71,14.0,8.52,57.9,59.6,76.4
16703519,-1.99,80.41,13.4,8.77,57.3,58.9,76.8
16767096,-1.99,81.11,13.3,8.77,56.7,58.2,76.8
16830673,-1.93,81.82,12.7,9.03,56.1,57.5,77.2
16894250,-1.93,82.52,12.5,9.03,55.4,56.8,77.3
16957827,-1.87,83.23,12.0,9.31,54.8,56.1,77.7
17021404,-1.87,83.93,11.8,9.31,54.2,55.5,77.7
17084981,-1.87,84.63,11.7,9.31,53.5,54.8,77.7
17148558,-1.81,85.34,11.2,9.61,53.0,54.1,78.1
17212135,-1.81,86.04,11.0,9.61,52.3,53.5,78.1
17275712,-1.78,86.74,10.7,9.79,51.8,52.9,78.3
17339289,-1.79,87.45,10.6,9.76,51.1,52.2,78.3
17402866,-1.76,88.15,10.3,9.93,50.6,51.6,78.5
17466443,-1.70,88.68,9.9,10.27,50.2,51.1,78.9
17530020,-1.70,89.38,9.8,10.27,49.6,50.5,78.9
17593597,-1.70,90.09,9.6,10.27,49.0,49.9,78.9
17657174,-1.64,90.79,9.2,10.63,48.5,49.3,79.3
17720751,-1.64,91.50,9.1,10.63,47.9,48.7,79.2
17784328,-1.53,92.20,8.4,11.40,47.4,48.1,80.0
17847905,-1.52,92.90,8.3,11.44,46.8,47.6,80.0
17911482,-1.52,93.61,8.2,11.44,46.3,47.0,80.0
17975059,-1.46,94.31,7.8,11.90,45.8,46.4,80.4
18038636,-1.47,95.01,7.7,11.83,45.2,45.9,80.3
18102213,-1.51,95.72,7.8,11.53,44.6,45.3,80.0
18165790,-1.40,96.42,7.2,12.39,44.2,44.8,80.7
18229367,-1.40,97.13,7.1,12.39,43.6,44.2,80.7
18292944,-1.40,97.83,7.1,12.39,43.1,43.7,80.7
18356521,-1.35,98.53,6.7,12.93,42.6,43.1,81.1
18420098,-1.35,99.06,6.7,12.93,42.2,42.7,81.0
18483675,-1.35,99.77,6.6,12.93,41.7,42.2,81.0
18547252,-1.35,100.47,6.5,12.93,41.2,41.7,81.0
18610829,-1.29,101.17,6.2,13.51,40.7,41.2,81.4
18674406,-1.29,101.88,6.1,13.51,40.2,40.7,81.4
18737983,-1.29,102.58,6.1,13.51,39.7,40.2,81.3
18801560,-1.23,103.28,5.7,14.16,39.2,39.7,81.7
18865137,-1.23,103.81,5.7,14.16,38.9,39.3,81.7
18928714,-1.23,104.52,5.6,14.16,38.4,38.8,81.7
18992291,-1.17,105.22,5.3,14.86,37.9,38.3,82.0
19055868,-1.17,105.92,5.3,14.86,37.5,37.8,82.0
19119445,-1.17,106.63,5.2,14.86,37.0,37.4,82.0
19183022,-1.17,107.33,5.2,14.86,36.5,36.9,81.9
19246599,-1.11,107.86,4.9,15.64,36.2,36.5,82.3
19310176,-1.11,108.56,4.8,15.64,35.7,36.1,82.3
19373753,-1.11,109.27,4.8,15.64,35.3,35.6,82.3
19437330,-1.05,109.97,4.5,16.51,34.8,35.1,82.6
19500907,-1.05,110.67,4.5,16.51,34.4,34.7,82.6
19564484,-1.02,111.38,4.3,17.07,34.0,34.2,82.8
19628061,-1.00,111.91,4.2,17.48,33.6,33.9,82.9
19691638,-1.00,112.61,4.1,17.48,33.2,33.4,82.9
19755215,-0.94,113.31,3.9,18.57,32.8,33.0,83.3
19818792,-0.94,114.02,3.8,18.57,32.3,32.6,83.3
19882369,-0.94,114.72,3.8,18.57,31.9,32.1,83.2
19945946,-0.94,115.25,3.8,18.57,31.6,31.8,83.2
20009523,-0.88,115.95,3.5,19.80,31.2,31.4,83.6
20073100,-0.88,116.66,3.5,19.80,30.7,30.9,83.5
20136677,-0.88,117.36,3.5,19.80,30.3,30.5,83.5
20200254,-0.88,118.06,3.4,19.80,29.9,30.1,83.5
